text,topic,stems
GEORGIA! Get out today and VOTE for @KLoeffler and @Perduesenate! https://t.co/YKiSx7d7lp,Topic #1,"['georgia', 'get', 'today', 'vote', 'kloeffler', 'perduesen', 'httpstcoykisx7d7lp']"
"Reports are coming out of the 12th Congressional District of Georgia that Dominion Machines are not working in certain Republican Strongholds for over an hour. Ballots are being left in lock boxes, hopefully they count them. Thank you Congressman @RickAllen!",Topic #1,"['report', 'come', '12th', 'congression', 'district', 'georgia', 'dominion', 'machin', 'work', 'certain', 'republican', 'stronghold', 'hour', 'ballot', 'left', 'lock', 'box', 'hope', 'count', 'thank', 'congressman', 'rickallen']"
The Vice President has the power to reject fraudulently chosen electors.,Topic #1,"['vice', 'presid', 'power', 'reject', 'fraudul', 'chosen', 'elector']"
See you in D.C. https://t.co/ti4bChnPKz,Topic #1,"['see', 'dc', 'httpstcoti4bchnpkz']"
"Georgia, get out and VOTE for two great Senators, @KLoeffler and @sendavidperdue. So important to do so!",Topic #1,"['georgia', 'get', 'vote', 'two', 'great', 'senat', 'kloeffler', 'sendavidperdu', 'import']"
"Pleased to announce that @KLoeffler &amp; @sendavidperdue have just joined our great #StopTheSteal group of Senators. They will fight the ridiculous Electoral College Certification of Biden. How do you certify numbers that have now proven to be wrong and, in many cases, fraudulent!",Topic #1,"['pleas', 'announc', 'kloeffler', 'amp', 'sendavidperdu', 'join', 'great', 'stopthest', 'group', 'senat', 'fight', 'ridicul', 'elector', 'colleg', 'certif', 'biden', 'certifi', 'number', 'proven', 'wrong', 'mani', 'case', 'fraudul']"
https://t.co/tJkmEhSqY5,Topic #1,['httpstcotjkmehsqy5']
https://t.co/X0CIj5dFlV,Topic #2,['httpstcox0cij5dflv']
https://t.co/zkFfhX0hOQ,Topic #1,['httpstcozkffhx0hoq']
https://t.co/gWj2obEKm8,Topic #1,['httpstcogwj2obekm8']
https://t.co/9fRvjIgqKE,Topic #2,['httpstco9frvjigqk']
"On my way, see you soon! https://t.co/7QW23k5b9r",Topic #1,"['way', 'see', 'soon', 'httpstco7qw23k5b9r']"
https://t.co/3LNZWTO8NY,Topic #2,['httpstco3lnzwto8ni']
Heading to Georgia now. See you soon!,Topic #1,"['head', 'georgia', 'see', 'soon']"
"The “Surrender Caucus” within the Republican Party will go down in infamy as weak and ineffective “guardians” of our Nation, who were willing to accept the certification of fraudulent presidential numbers!",Topic #1,"['surrend', 'caucu', 'within', 'republican', 'parti', 'go', 'infami', 'weak', 'ineffect', 'guardian', 'nation', 'will', 'accept', 'certif', 'fraudul', 'presidenti', 'number']"
"“We are not acting to thwart the Democratic process, we are acting to protect it.” @SenRonJohnson",Topic #3,"['act', 'thwart', 'democrat', 'process', 'act', 'protect', 'senronjohnson']"
"“We’ve seen in the last few months, unprecedented amounts of Voter Fraud.” @SenTedCruz  True!",Topic #1,"['weve', 'seen', 'last', 'month', 'unpreced', 'amount', 'voter', 'fraud', 'sentedcruz', 'true']"
"How can you certify an election when the numbers being certified are verifiably WRONG. You will see the real numbers tonight during my speech, but especially on JANUARY 6th. @SenTomCotton Republicans have pluses &amp; minuses, but one thing is sure, THEY NEVER FORGET!",Topic #1,"['certifi', 'elect', 'number', 'certifi', 'verifi', 'wrong', 'see', 'real', 'number', 'tonight', 'speech', 'especi', 'januari', '6th', 'sentomcotton', 'republican', 'pluse', 'amp', 'minus', 'one', 'thing', 'sure', 'never', 'forget']"
https://t.co/PXNO26lpoZ,Topic #1,['httpstcopxno26lpoz']
https://t.co/2rLJfoKmSS,Topic #1,['httpstco2rljfokmss']
https://t.co/tuGfzK3QPE,Topic #1,['httpstcotugfzk3qp']
https://t.co/JEzkcjgLSy,Topic #1,['httpstcojezkcjglsi']
https://t.co/NmdLNsfDU2,Topic #1,['httpstconmdlnsfdu2']
https://t.co/dN2P40kJLW,Topic #1,['httpstcodn2p40kjlw']
"Sorry, but the number of votes in the Swing States that we are talking about is VERY LARGE and totally OUTCOME DETERMINATIVE! Only the Democrats and some RINO’S would dare dispute this - even though they know it is true!",Topic #1,"['sorri', 'number', 'vote', 'swing', 'state', 'talk', 'larg', 'total', 'outcom', 'determin', 'democrat', 'rino', 'would', 'dare', 'disput', 'even', 'though', 'know', 'true']"
....@SenTedCruz @HawleyMO @Jim_Jordan @senatemajldr @GOPLeader &amp; THE WORLD!,Topic #1,"['sentedcruz', 'hawleymo', 'jimjordan', 'senatemajldr', 'goplead', 'amp', 'world']"
"The Swing States did not even come close to following the dictates of their State Legislatures. These States  “election laws” were made up by local judges &amp; politicians, not by their Legislatures, &amp; are therefore, before even getting to irregularities &amp; fraud, UNCONSTITUTIONAL!",Topic #1,"['swing', 'state', 'even', 'come', 'close', 'follow', 'dictat', 'state', 'legislatur', 'state', 'elect', 'law', 'made', 'local', 'judg', 'amp', 'politician', 'legislatur', 'amp', 'therefor', 'even', 'get', 'irregular', 'amp', 'fraud', 'unconstitut']"
Trump Speaks to State Legislators on Call About Decertifying Election https://t.co/z6BgCAe3zX via @BreitbartNews,Topic #1,"['trump', 'speak', 'state', 'legisl', 'call', 'decertifi', 'elect', 'httpstcoz6bgcae3zx', 'via', 'breitbartnew']"
https://t.co/FDUVk8cm9S,Topic #1,['httpstcofduvk8cm9']
I will be there. Historic day! https://t.co/k6LStsWpfy,Topic #2,"['histor', 'day', 'httpstcok6lstswpfi']"
Great! https://t.co/f0nKNPgqWg,Topic #1,"['great', 'httpstcof0nknpgqwg']"
"Something how Dr. Fauci is revered by the LameStream Media as such a great professional, having done, they say, such an incredible job, yet he works for me and the Trump Administration, and I am in no way given any credit for my work. Gee, could this just be more Fake News?",Topic #2,"['someth', 'dr', 'fauci', 'rever', 'lamestream', 'media', 'great', 'profession', 'done', 'say', 'incred', 'job', 'yet', 'work', 'trump', 'administr', 'way', 'given', 'credit', 'work', 'gee', 'could', 'fake', 'news']"
"“Georgia election data, just revealed, shows that over 17,000 votes illegally flipped from Trump to Biden.” @OANN  This alone (there are many other irregularities) is enough to easily “swing Georgia to Trump”. #StopTheSteal  @HawleyMO @SenTedCruz @Jim_Jordan",Topic #1,"['georgia', 'elect', 'data', 'reveal', 'show', '17000', 'vote', 'illeg', 'flip', 'trump', 'biden', 'oann', 'alon', 'mani', 'irregular', 'enough', 'easili', 'swing', 'georgia', 'trump', 'stopthest', 'hawleymo', 'sentedcruz', 'jimjordan']"
"I spoke to Secretary of State Brad Raffensperger yesterday about Fulton County and voter fraud in Georgia. He was unwilling, or unable, to answer questions such as the “ballots under table” scam, ballot destruction, out of state “voters”, dead voters, and more. He has no clue!",Topic #1,"['spoke', 'secretari', 'state', 'brad', 'raffensperg', 'yesterday', 'fulton', 'counti', 'voter', 'fraud', 'georgia', 'unwil', 'unabl', 'answer', 'question', 'ballot', 'tabl', 'scam', 'ballot', 'destruct', 'state', 'voter', 'dead', 'voter', 'clue']"
"Republicans in Georgia must be careful of the political corruption in Fulton County, which is rampant. The Governor, @BrianKempGA, and his puppet Lt. Governor, @GeoffDuncanGA, have done less than nothing. They are a disgrace to the great people of Georgia!",Topic #1,"['republican', 'georgia', 'must', 'care', 'polit', 'corrupt', 'fulton', 'counti', 'rampant', 'governor', 'briankempga', 'puppet', 'lt', 'governor', 'geoffduncanga', 'done', 'less', 'noth', 'disgrac', 'great', 'peopl', 'georgia']"
"The number of cases and deaths of the China Virus is far exaggerated in the United States because of @CDCgov’s ridiculous method of determination compared to other countries, many of whom report, purposely, very inaccurately and low. “When in doubt, call it Covid.” Fake News!",Topic #1,"['number', 'case', 'death', 'china', 'viru', 'far', 'exagger', 'unit', 'state', 'cdcgov', 'ridicul', 'method', 'determin', 'compar', 'countri', 'mani', 'report', 'purpos', 'inaccur', 'low', 'doubt', 'call', 'covid', 'fake', 'news']"
The vaccines are being delivered to the states by the Federal Government far faster than they can be administered!,Topic #2,"['vaccin', 'deliv', 'state', 'feder', 'govern', 'far', 'faster', 'administ']"
GOP Senators Join Hawley in Objecting to Electoral College Votes https://t.co/f0JHfN4UUb via @BreitbartNews,Topic #1,"['gop', 'senat', 'join', 'hawley', 'object', 'elector', 'colleg', 'vote', 'httpstcof0jhfn4uub', 'via', 'breitbartnew']"
https://t.co/moYUIcRq56,Topic #2,['httpstcomoyuicrq56']
https://t.co/JLq7hHI42o,Topic #1,['httpstcojlq7hhi42o']
https://t.co/nslWcFwkCj,Topic #2,['httpstconslwcfwkcj']
So true. Thanks Josh! https://t.co/lacUQC6IHh,Topic #2,"['true', 'thank', 'josh', 'httpstcolacuqc6ihh']"
An attempt to steal a landslide win. Can’t let it happen! https://t.co/sKn4iTjUy0,Topic #1,"['attempt', 'steal', 'landslid', 'win', 'cant', 'let', 'happen', 'httpstcoskn4itjuy0']"
"...And after they see the facts, plenty more to come...Our Country will love them for it! #StopTheSteal https://t.co/0IdbiACLIb",Topic #2,"['see', 'fact', 'plenti', 'comeour', 'countri', 'love', 'stopthest', 'httpstco0idbiaclib']"
"Wow, I guess it’s not good to go against a President who everyone in Georgia knows got you into office! https://t.co/4xUNdOncoB",Topic #1,"['wow', 'guess', 'good', 'go', 'presid', 'everyon', 'georgia', 'know', 'got', 'offic', 'httpstco4xundoncob']"
".@senatemajldr Mitch M, and all! https://t.co/zLIEKzfpFv",Topic #2,"['senatemajldr', 'mitch', 'httpstcozliekzfpfv']"
Civil War: Tucker Carlson Hits His Own Network in Epic Post-Election Monologue https://t.co/xUSQQWCa8q,Topic #2,"['civil', 'war', 'tucker', 'carlson', 'hit', 'network', 'epic', 'postelect', 'monologu', 'httpstcoxusqqwca8q']"
"Why haven’t they done signature verification in Fulton County, Georgia. Why haven’t they deducted all of the dead people who “voted”, illegals who voted, non Georgia residents who voted, and tens of thousands of others who voted illegally, from the final vote tally?",Topic #1,"['havent', 'done', 'signatur', 'verif', 'fulton', 'counti', 'georgia', 'havent', 'deduct', 'dead', 'peopl', 'vote', 'illeg', 'vote', 'non', 'georgia', 'resid', 'vote', 'ten', 'thousand', 'other', 'vote', 'illeg', 'final', 'vote', 'talli']"
"....Just a small portion of these votes give US a big and conclusive win in Georgia. Have they illegally destroyed ballots in Fulton County? After many weeks, we don’t yet even have a judge to hear this large scale voter fraud case. The only judge seems to be Stacey’s sister!",Topic #1,"['small', 'portion', 'vote', 'give', 'us', 'big', 'conclus', 'win', 'georgia', 'illeg', 'destroy', 'ballot', 'fulton', 'counti', 'mani', 'week', 'dont', 'yet', 'even', 'judg', 'hear', 'larg', 'scale', 'voter', 'fraud', 'case', 'judg', 'seem', 'stacey', 'sister']"
MAKE AMERICA GREAT AGAIN!,Topic #2,"['make', 'america', 'great']"
"Will be in Georgia on Monday night, 9:00 P.M. to RALLY for two GREAT people, @sendavidperdue &amp; @KLoeffler. GET READY TO VOTE ON TUESDAY!!!",Topic #1,"['georgia', 'monday', 'night', '900', 'pm', 'ralli', 'two', 'great', 'peopl', 'sendavidperdu', 'amp', 'kloeffler', 'get', 'readi', 'vote', 'tuesday']"
"TRANSPARENCY in medical pricing will be one of the biggest and most important things done for the American citizen. It was just put into service, January 1, against long odds and bitter opposition. Final lawsuits won last week. Enjoy all the extra money you will have!",Topic #2,"['transpar', 'medic', 'price', 'one', 'biggest', 'import', 'thing', 'done', 'american', 'citizen', 'put', 'servic', 'januari', '1', 'long', 'odd', 'bitter', 'opposit', 'final', 'lawsuit', 'last', 'week', 'enjoy', 'extra', 'money']"
"For historical purposes remember, I was able to get rid of the INDIVIDUAL MANDATE, the most unpopular and expensive part of ObamaCare. You are no longer forced to pay a fortune for the “privilege” of NOT getting bad healthcare. This ended ObamaCare as we knew it. Thank you!",Topic #2,"['histor', 'purpos', 'rememb', 'abl', 'get', 'rid', 'individu', 'mandat', 'unpopular', 'expens', 'part', 'obamacar', 'longer', 'forc', 'pay', 'fortun', 'privileg', 'get', 'bad', 'healthcar', 'end', 'obamacar', 'knew', 'thank']"
https://t.co/t6nWHJjJAN,Topic #1,['httpstcot6nwhjjjan']
Some States are very slow to inoculate recipients despite successful and very large scale distribution of vaccines by the Federal Government. They will get it done!,Topic #2,"['state', 'slow', 'inocul', 'recipi', 'despit', 'success', 'larg', 'scale', 'distribut', 'vaccin', 'feder', 'govern', 'get', 'done']"
"Because of the Trump Administration, hospitals are now required, effective immediately, to publish their REAL PRICES, which will create competition and drive downs costs MASSIVELY. Won lawsuit last week. Bigger than healthcare, it’s called PRICE TRANSPARENCY....",Topic #2,"['trump', 'administr', 'hospit', 'requir', 'effect', 'immedi', 'publish', 'real', 'price', 'creat', 'competit', 'drive', 'down', 'cost', 'massiv', 'lawsuit', 'last', 'week', 'bigger', 'healthcar', 'call', 'price', 'transpar']"
....Please remember who got it done!!!,Topic #1,"['pleas', 'rememb', 'got', 'done']"
"Only because Biden got very few votes, just like the Election! https://t.co/sNIAJ1i5hu",Topic #1,"['biden', 'got', 'vote', 'like', 'elect', 'httpstcosniaj1i5hu']"
Herschel is speaking the truth! https://t.co/6x9VLsc9qf,Topic #2,"['herschel', 'speak', 'truth', 'httpstco6x9vlsc9qf']"
Thank you Madison! https://t.co/XyaAHO9CwC,Topic #2,"['thank', 'madison', 'httpstcoxyaaho9cwc']"
"Republicans should have gotten rid of Section 230 in the Defense Bill, and you wouldn’t have had this problem. Never learn!!! https://t.co/7wR84Rhln0",Topic #3,"['republican', 'gotten', 'rid', 'section', '230', 'defens', 'bill', 'wouldnt', 'problem', 'never', 'learn', 'httpstco7wr84rhln0']"
January 6th. See you in D.C. https://t.co/vynZTv9lHb,Topic #1,"['januari', '6th', 'see', 'dc', 'httpstcovynztv9lhb']"
"....is therefore both illegal and invalid, and that would include the two current Senatorial Elections. In Wisconsin, Voters not asking for applications invalidates the Election. All of this without even discussing the millions of fraudulent votes that were cast or altered!",Topic #1,"['therefor', 'illeg', 'invalid', 'would', 'includ', 'two', 'current', 'senatori', 'elect', 'wisconsin', 'voter', 'ask', 'applic', 'invalid', 'elect', 'without', 'even', 'discuss', 'million', 'fraudul', 'vote', 'cast', 'alter']"
"....changes made to the voting process, rules and regulations, many made hastily before the election, and therefore the whole State Election is not legal or Constitutional. Additionally, the Georgia Consent Decree is Unconstitutional &amp; the State 2020 Presidential Election....",Topic #1,"['chang', 'made', 'vote', 'process', 'rule', 'regul', 'mani', 'made', 'hastili', 'elect', 'therefor', 'whole', 'state', 'elect', 'legal', 'constitut', 'addit', 'georgia', 'consent', 'decre', 'unconstitut', 'amp', 'state', '2020', 'presidenti', 'elect']"
"Before even discussing the massive corruption which took place in the 2020 Election, which gives us far more votes than is necessary to win all of the Swing States (only need three), it must be noted that the State Legislatures were not in any way responsible for the massive....",Topic #1,"['even', 'discuss', 'massiv', 'corrupt', 'took', 'place', '2020', 'elect', 'give', 'us', 'far', 'vote', 'necessari', 'win', 'swing', 'state', 'need', 'three', 'must', 'note', 'state', 'legislatur', 'way', 'respons', 'massiv']"
"Our Republican Senate just missed the opportunity to get rid of Section 230, which gives unlimited power to Big Tech companies. Pathetic!!! Now they want to give people ravaged by the China Virus $600, rather than the $2000 which they so desperately need. Not fair, or smart!",Topic #1,"['republican', 'senat', 'miss', 'opportun', 'get', 'rid', 'section', '230', 'give', 'unlimit', 'power', 'big', 'tech', 'compani', 'pathet', 'want', 'give', 'peopl', 'ravag', 'china', 'viru', '600', 'rather', '2000', 'desper', 'need', 'fair', 'smart']"
.@FoxNews Weekend Daytime is not watchable. Switching over to @OANN!,Topic #1,"['foxnew', 'weekend', 'daytim', 'watchabl', 'switch', 'oann']"
A great honor! https://t.co/U4WFBWrnF7,Topic #2,"['great', 'honor', 'httpstcou4wfbwrnf7']"
NOW! https://t.co/hjC1WW64O6,Topic #1,['httpstcohjc1ww64o6']
"Massive amounts of evidence will be presented on the 6th. We won, BIG! https://t.co/ymncRrNR5t",Topic #1,"['massiv', 'amount', 'evid', 'present', '6th', 'big', 'httpstcoymncrrnr5t']"
"The BIG Protest Rally in Washington, D.C., will take place at 11.00 A.M. on January 6th. Locational details to follow. StopTheSteal!",Topic #1,"['big', 'protest', 'ralli', 'washington', 'dc', 'take', 'place', '1100', 'januari', '6th', 'locat', 'detail', 'follow', 'stopthest']"
"The BIG Protest Rally in Washington, D.C., will take place at 11.00 A.M. on January 6th. Locational details to follow. StopTheSteal!",Topic #1,"['big', 'protest', 'ralli', 'washington', 'dc', 'take', 'place', '1100', 'januari', '6th', 'locat', 'detail', 'follow', 'stopthest']"
"I hope to see the great Governor of South Dakota @KristiNoem, run against RINO @SenJohnThune, in the upcoming 2022 Primary. She would do a fantastic job in the U.S. Senate, but if not Kristi, others are already lining up. South Dakota wants strong leadership, NOW!",Topic #1,"['hope', 'see', 'great', 'governor', 'south', 'dakota', 'kristinoem', 'run', 'rino', 'senjohnthun', 'upcom', '2022', 'primari', 'would', 'fantast', 'job', 'us', 'senat', 'kristi', 'other', 'alreadi', 'line', 'south', 'dakota', 'want', 'strong', 'leadership']"
https://t.co/RBgT5SMWGT,Topic #1,['httpstcorbgt5smwgt']
HAPPY NEW YEAR!,Topic #2,"['happi', 'new', 'year']"
https://t.co/7YHKqgjAub,Topic #1,['httpstco7yhkqgjaub']
https://t.co/FDUVk8cm9S,Topic #1,['httpstcofduvk8cm9']
Sen. Josh Hawley Slams Walmart Tweet Calling Him a ‘Sore Loser‘ https://t.co/wmShnPcrzj via @BreitbartNews America is proud of Josh and the many others who are joining him. The USA cannot have fraudulent elections!,Topic #1,"['sen', 'josh', 'hawley', 'slam', 'walmart', 'tweet', 'call', 'sore', 'loser', 'httpstcowmshnpcrzj', 'via', 'breitbartnew', 'america', 'proud', 'josh', 'mani', 'other', 'join', 'usa', 'can', 'not', 'fraudul', 'elect']"
"Finished off the year with the highest Stock Market in history. Setting records with your 401k’s, just like I said you would. Congratulations to all!",Topic #2,"['finish', 'year', 'highest', 'stock', 'market', 'histori', 'set', 'record', '401k', 'like', 'said', 'would', 'congratul']"
https://t.co/2kYtZF8Mei,Topic #1,['httpstco2kytzf8mei']
https://t.co/S6fKpzoXZZ,Topic #2,['httpstcos6fkpzoxzz']
We now have far more votes than needed to flip Georgia in the Presidential race. Massive VOTER FRAUD took place. Thank you to the Georgia Legislature for today’s revealing meeting!,Topic #1,"['far', 'vote', 'need', 'flip', 'georgia', 'presidenti', 'race', 'massiv', 'voter', 'fraud', 'took', 'place', 'thank', 'georgia', 'legislatur', 'today', 'reveal', 'meet']"
".@BrianKempGA, his puppet Lt. Governor @GeoffDuncanGA, and Secretary of State, are disasters for Georgia. Won’t let professionals get anywhere near Fulton County for signature verifications, or anything else. They are virtually controlled by @staceyabrams &amp; the Democrats. Fools!",Topic #1,"['briankempga', 'puppet', 'lt', 'governor', 'geoffduncanga', 'secretari', 'state', 'disast', 'georgia', 'wont', 'let', 'profession', 'get', 'anywher', 'near', 'fulton', 'counti', 'signatur', 'verif', 'anyth', 'els', 'virtual', 'control', 'staceyabram', 'amp', 'democrat', 'fool']"
Watching @FoxNews is almost as bad as watching Fake News @CNN. New alternatives are developing!,Topic #1,"['watch', 'foxnew', 'almost', 'bad', 'watch', 'fake', 'news', 'cnn', 'new', 'altern', 'develop']"
"The United States had more votes than it had people voting, by a lot. This travesty cannot be allowed to stand. It was a Rigged Election, one not even fit for third world countries!",Topic #1,"['unit', 'state', 'vote', 'peopl', 'vote', 'lot', 'travesti', 'can', 'not', 'allow', 'stand', 'rig', 'elect', 'one', 'even', 'fit', 'third', 'world', 'countri']"
"JANUARY SIXTH, SEE YOU IN DC!",Topic #1,"['januari', 'sixth', 'see', 'dc']"
"Twitter is shadow banning like never before. A disgrace that our weak and ineffective political leadership refuses to do anything about Big Tech. They’re either afraid or stupid, nobody really knows!",Topic #1,"['twitter', 'shadow', 'ban', 'like', 'never', 'disgrac', 'weak', 'ineffect', 'polit', 'leadership', 'refus', 'anyth', 'big', 'tech', 'theyr', 'either', 'afraid', 'stupid', 'nobodi', 'realli', 'know']"
"Thank you, a great honor! https://t.co/9GfT5c8hY0",Topic #2,"['thank', 'great', 'honor', 'httpstco9gft5c8hy0']"
"Hearings from Atlanta on the Georgia Election overturn now being broadcast LIVE via @RSBNetwork! 
https://t.co/ogBvLbKfqG",Topic #1,"['hear', 'atlanta', 'georgia', 'elect', 'overturn', 'broadcast', 'live', 'via', 'rsbnetwork', 'httpstcoogbvlbkfqg']"
"Hearings from Atlanta on the Georgia Election overturn now being broadcast. Check it out. @OANN @newsmax and many more. @BrianKempGA should resign from office. He is an obstructionist who refuses to admit that we won Georgia, BIG! Also won the other Swing States.",Topic #1,"['hear', 'atlanta', 'georgia', 'elect', 'overturn', 'broadcast', 'check', 'oann', 'newsmax', 'mani', 'briankempga', 'resign', 'offic', 'obstructionist', 'refus', 'admit', 'georgia', 'big', 'also', 'swing', 'state']"
$2000 ASAP!,Topic #2,"['2000', 'asap']"
The Federal Government has distributed the vaccines to the states. Now it is up to the states to administer. Get moving!,Topic #2,"['feder', 'govern', 'distribut', 'vaccin', 'state', 'state', 'administ', 'get', 'move']"
